vessel_nz,vessel_name,vessel_number,Qmean,Pmean,Pmean/Qmean,R1,R2,Qmean/Pmean
lateral_occipital_posterior_temporal_branch_T112_R,T_lateral_occipital_posterior_tempotal_branch_ORG01_T112_R_2748,2748,0.1003229369280898,115916.23797429279,0.0,252811.0,1011240.0,1155431.0661517023
pericallosal_parieto_occipital_branch_T124_R,T_pericallosal_parieto_occipital_branch_ORG01_T124_R_2741,2741,0.1294025316672881,109346.67322972568,0.0,178019.0,712075.0,845011.854257003
pericallosal_precuneal_branch_T125_R,T_pericallosal_precuneal_branch_ORG01_T125_R_2739,2739,0.18447885930380545,108734.03818164766,0.0,122746.0,490983.0,589411.9173979773
distal_medial_striate_T109_R,T_distal_medial_striate_ORG01_T109_R_2736,2736,0.04059902373539901,121998.78117034728,0.0,658855.0,2635420.0,3004968.3451864477
callosomarginal_intermediomedial_frontal_branch_T106_R,T_callosomarginal_intermediomedial_frontal_branch_ORG01_T106_R_2743,2743,0.17543262372425675,107047.73284961587,0.0,132110.0,528439.0,610192.8511191421
callosomarginal_posteromedial_frontal_branch_T108_R,T_callosomarginal_posteromedial_frontal_branch_ORG01_T108_R_2744,2744,0.2323267662196453,102371.75486809979,0.0,93967.3,375869.0,440636.9379381623
callosomarginal_cingular_branch_T105_R,T_callosomarginal_cingular_branch_ORG01_T105_R_2745,2745,0.18293295679208657,102870.74103457881,0.0,124248.0,496990.0,562341.2141722342
callosomarginal_paracentral_branch_T107_R,T_callosomarginal_paracentral_branch_ORG01_T107_R_2738,2738,0.16733234451344872,98322.64164077546,0.0,124248.0,496990.0,587588.9800424875
medial_occipital_occipitotemporal_branch_T80_R,P_medial_occipital_occipitotemporal_branch_ORG01_T80_R_2751,2751,0.08477083882845726,117337.56986678766,0.0,310946.0,1243790.0,1384173.7499405027
medial_occipital_parietal_branch_T81_R,P_medial_occipital_parietal_branch_ORG01_T81_R_2785,2785,0.04703269036653905,109032.45478325935,0.0,519306.0,2077220.0,2318227.04449902
medial_occipital_parieto_occipital_branch_T118_R,T_medial_occipital_parieto_occipital_branch_ORG01_T118_R_2750,2750,0.22022863816413185,106896.72496747508,0.0,106655.0,426618.0,485389.75611249596
medial_occipital_calcarine_branch_T79_R,P_medial_occipital_calcarine_branch_ORG01_T79_R_2720,2720,0.08563440457245752,117700.03324938728,0.0,310946.0,1243790.0,1374447.9667608151
