variable_name,units,value,data_reference
E_subclavian_L78,J_per_m3,400000,systemic
l_subclavian_L78,metre,0.0411396,systemic
r_subclavian_L78,metre,0.00290824,systemic
theta_subclavian_L78,dimensionless,90,systemic
E_axillary_L80,J_per_m3,400000,systemic
l_axillary_L80,metre,0.120021,systemic
r_axillary_L80,metre,0.00218463,systemic
theta_axillary_L80,dimensionless,180,systemic
E_brachial_L82,J_per_m3,400000,systemic
l_brachial_L82,metre,0.223119,systemic
r_brachial_L82,metre,0.00196732,systemic
theta_brachial_L82,dimensionless,180,systemic
E_ulnar_T2_L84,J_per_m3,800000,systemic
l_ulnar_T2_L84,metre,0.0297594,systemic
r_ulnar_T2_L84,metre,0.001408,systemic
theta_ulnar_T2_L84,dimensionless,180,systemic
E_common_interosseous_L86,J_per_m3,1600000,systemic
l_common_interosseous_L86,metre,0.0162681,systemic
r_common_interosseous_L86,metre,0.000959006,systemic
theta_common_interosseous_L86,dimensionless,180,systemic
R_T_posterior_interosseous_T3_L88,Js_per_m6,4349480000,systemic
C_T_posterior_interosseous_T3_L88,m6_per_J,1.1804E-11,systemic
R_T_ulnar_T2_L90,Js_per_m6,1085530000,systemic
C_T_ulnar_T2_L90,m6_per_J,4.7295E-11,systemic
R_T_radial_T1_L92,Js_per_m6,1027150000,systemic
C_T_radial_T1_L92,m6_per_J,4.9983E-11,systemic
E_common_carotid_R6,J_per_m3,400000,systemic
l_common_carotid_R6,metre,0.0812532,systemic
r_common_carotid_R6,metre,0.00443,systemic
theta_common_carotid_R6,dimensionless,0,systemic
E_internal_carotid_R8,J_per_m3,800000,systemic
l_internal_carotid_R8,metre,0.135108,systemic
r_internal_carotid_R8,metre,0.00254,systemic
