variable_name,units,value,data_reference
r_abdominal_aorta_C188,metre,systemic,0.00679934
theta_abdominal_aorta_C188,dimensionless,systemic,180
E_abdominal_aorta_C192,J_per_m3,systemic,400000
l_abdominal_aorta_C192,metre,systemic,0.042231
r_abdominal_aorta_C192,metre,systemic,0.00612422
theta_abdominal_aorta_C192,dimensionless,systemic,180
R_T_posterior_intercostal_T1_R98,Js_per_m6,systemic,22580900000
C_T_posterior_intercostal_T1_R98,m6_per_J,systemic,2.2736E-12
R_T_posterior_intercostal_T1_L102,Js_per_m6,systemic,23166100000
C_T_posterior_intercostal_T1_L102,m6_per_J,systemic,2.2162E-12
R_T_posterior_intercostal_T2_R106,Js_per_m6,systemic,21067800000
C_T_posterior_intercostal_T2_R106,m6_per_J,systemic,2.4369E-12
R_T_posterior_intercostal_T2_L110,Js_per_m6,systemic,21248300000
C_T_posterior_intercostal_T2_L110,m6_per_J,systemic,2.4162E-12
E_celiac_trunk_C116,J_per_m3,systemic,400000
l_celiac_trunk_C116,metre,systemic,0.0169374
r_celiac_trunk_C116,metre,systemic,0.00329653
theta_celiac_trunk_C116,dimensionless,systemic,90
E_splenic_T2_C118,J_per_m3,systemic,400000
l_splenic_T2_C118,metre,systemic,0.0039576
r_splenic_T2_C118,metre,systemic,0.00216682
theta_splenic_T2_C118,dimensionless,systemic,90
R_T_left_gastric_T3_C120,Js_per_m6,systemic,31125100000
C_T_left_gastric_T3_C120,m6_per_J,systemic,1.6495E-12
E_splenic_T2_C122,J_per_m3,systemic,400000
l_splenic_T2_C122,metre,systemic,0.00279812
r_splenic_T2_C122,metre,systemic,0.00216682
theta_splenic_T2_C122,dimensionless,systemic,90
R_T_dorsal_pancreatic_T1_C124,Js_per_m6,systemic,16631300000
C_T_dorsal_pancreatic_T1_C124,m6_per_J,systemic,1.5055E-11
R_T_splenic_T2_C126,Js_per_m6,systemic,429028000
C_T_splenic_T2_C126,m6_per_J,systemic,1.1967E-10
E_common_hepatic_C128,J_per_m3,systemic,400000
l_common_hepatic_C128,metre,systemic,0.0693076
r_common_hepatic_C128,metre,systemic,0.00268614
theta_common_hepatic_C128,dimensionless,systemic,90
E_hepatic_artery_proper_C130,J_per_m3,systemic,400000
l_hepatic_artery_proper_C130,metre,systemic,0.0168059
r_hepatic_artery_proper_C130,metre,systemic,0.00177555
theta_hepatic_artery_proper_C130,dimensionless,systemic,0
R_T_hepatic_artery_proper_left_branch_C132,Js_per_m6,systemic,852085000
C_T_hepatic_artery_proper_left_branch_C132,m6_per_J,systemic,6.0253E-11
R_T_hepatic_artery_proper_right_branch_C134,Js_per_m6,systemic,471438000
C_T_hepatic_artery_proper_right_branch_C134,m6_per_J,systemic,1.089E-10
E_superior_mesenteric_T4_C138,J_per_m3,systemic,400000
l_superior_mesenteric_T4_C138,metre,systemic,0.0495492
r_superior_mesenteric_T4_C138,metre,systemic,0.00372737
theta_superior_mesenteric_T4_C138,dimensionless,systemic,180
R_T_middle_colic_T8_C140,Js_per_m6,systemic,2686500000
C_T_middle_colic_T8_C140,m6_per_J,systemic,1.9111E-11
E_superior_mesenteric_T4_C142,J_per_m3,systemic,400000
l_superior_mesenteric_T4_C142,metre,systemic,0.0351664
r_superior_mesenteric_T4_C142,metre,systemic,0.00340146
theta_superior_mesenteric_T4_C142,dimensionless,systemic,180
R_T_jejunal_3_T10_C144,Js_per_m6,systemic,1969520000
C_T_jejunal_3_T10_C144,m6_per_J,systemic,2.6067E-11
E_superior_mesenteric_T4_C146,J_per_m3,systemic,400000
l_superior_mesenteric_T4_C146,metre,systemic,0.0322488
r_superior_mesenteric_T4_C146,metre,systemic,0.00306914
theta_superior_mesenteric_T4_C146,dimensionless,systemic,180
R_T_jejunal_6_T11_C148,Js_per_m6,systemic,1969520000
C_T_jejunal_6_T11_C148,m6_per_J,systemic,2.6067E-11
E_superior_mesenteric_T4_C150,J_per_m3,systemic,400000
l_superior_mesenteric_T4_C150,metre,systemic,0.0167458
r_superior_mesenteric_T4_C150,metre,systemic,0.00285201
theta_superior_mesenteric_T4_C150,dimensionless,systemic,180
R_T_ileocolic_T9_C152,Js_per_m6,systemic,971722000
C_T_ileocolic_T9_C152,m6_per_J,systemic,5.2835E-11
E_superior_mesenteric_T4_C154,J_per_m3,systemic,400000
l_superior_mesenteric_T4_C154,metre,systemic,0.0230546
r_superior_mesenteric_T4_C154,metre,systemic,0.00269257
theta_superior_mesenteric_T4_C154,dimensionless,systemic,180
R_T_ileal_4_T12_C156,Js_per_m6,systemic,1329640000
C_T_ileal_4_T12_C156,m6_per_J,systemic,3.8612E-11
E_superior_mesenteric_T4_C158,J_per_m3,systemic,400000
l_superior_mesenteric_T4_C158,metre,systemic,0.0205397
r_superior_mesenteric_T4_C158,metre,systemic,0.00249385
theta_superior_mesenteric_T4_C158,dimensionless,systemic,180
R_T_ileal_6_T13_C160,Js_per_m6,systemic,1329640000
C_T_ileal_6_T13_C160,m6_per_J,systemic,3.8612E-11
R_T_superior_mesenteric_T4_C162,Js_per_m6,systemic,880745000
C_T_superior_mesenteric_T4_C162,m6_per_J,systemic,5.8292E-11
E_renal_L166,J_per_m3,systemic,400000
l_renal_L166,metre,systemic,0.0220037
r_renal_L166,metre,systemic,0.00273574
theta_renal_L166,dimensionless,systemic,90
E_renal_anterior_branch_L168,J_per_m3,systemic,400000
l_renal_anterior_branch_L168,metre,systemic,0.0108789
r_renal_anterior_branch_L168,metre,systemic,0.00248193
theta_renal_anterior_branch_L168,dimensionless,systemic,90
R_T_inferior_segmental_T5_L170,Js_per_m6,systemic,526057000
C_T_inferior_segmental_T5_L170,m6_per_J,systemic,9.7595E-11
R_T_superior_segmental_T4_L172,Js_per_m6,systemic,526057000
C_T_superior_segmental_T4_L172,m6_per_J,systemic,9.7595E-11
R_T_renal_posterior_branch_T3_L174,Js_per_m6,systemic,931304000
C_T_renal_posterior_branch_T3_L174,m6_per_J,systemic,5.5127E-11
E_renal_R178,J_per_m3,systemic,400000
l_renal_R178,metre,systemic,0.0377403
r_renal_R178,metre,systemic,0.00296767
theta_renal_R178,dimensionless,systemic,90
E_renal_anterior_branch_R180,J_per_m3,systemic,400000
l_renal_anterior_branch_R180,metre,systemic,0.0108792
r_renal_anterior_branch_R180,metre,systemic,0.00248193
theta_renal_anterior_branch_R180,dimensionless,systemic,90
R_T_superior_segmental_T4_R182,Js_per_m6,systemic,527823000
C_T_superior_segmental_T4_R182,m6_per_J,systemic,9.7268E-11
R_T_inferior_segmental_T5_R184,Js_per_m6,systemic,527823000
C_T_inferior_segmental_T5_R184,m6_per_J,systemic,9.7268E-11
R_T_renal_posterior_branch_T3_R186,Js_per_m6,systemic,934431000
C_T_renal_posterior_branch_T3_R186,m6_per_J,systemic,5.4943E-11
R_T_inferior_mesenteric_T5_C190,Js_per_m6,systemic,2167460000
C_T_inferior_mesenteric_T5_C190,m6_per_J,systemic,2.3687E-11
E_subclavian_R28,J_per_m3,systemic,400000
l_subclavian_R28,metre,systemic,0.0157469
r_subclavian_R28,metre,systemic,0.00452027
theta_subclavian_R28,dimensionless,systemic,90
E_subclavian_R30,J_per_m3,systemic,400000
l_subclavian_R30,metre,systemic,0.0411419
r_subclavian_R30,metre,systemic,0.00332268
theta_subclavian_R30,dimensionless,systemic,90
E_axillary_R32,J_per_m3,systemic,400000
l_axillary_R32,metre,systemic,0.120021
r_axillary_R32,metre,systemic,0.00218463
theta_axillary_R32,dimensionless,systemic,180
E_brachial_R34,J_per_m3,systemic,400000
l_brachial_R34,metre,systemic,0.223119
r_brachial_R34,metre,systemic,0.00196732
theta_brachial_R34,dimensionless,systemic,180
